Restaurant,AMEX?,Acceptable Payment Level,Cash Discounts %
ichiban,,credit card,2
cafe n one,,debt card (credit card ok),10
后海味,,credit card,10
恰鱼,,credit card,0
孙记,,credit card,0
一碗水煮肉,,credit card,0
lalaspicy sc,,credit card,5
一品猪肚鸡,,credit card,5
曲小姐,,debit card,10
牛门,,credit card,0
荣华苑酸菜鱼,,credit card,0
有局儿,,debit card,5
老娘水煎包,,credit card,0
青花庄,,credit card,0
龙凤打边炉,,debit card,5
omiwol K BBQ,,credit card,5
Muni Robata Izakaya,,amex,0
好兄弟烤串,,amex,5
寻南记云南菜,,credit card,0
和顺火锅,,debit card,0
damaru shabushabu,,credit card,0
Glad幸会,,amex,0
